Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Jamaica,2010,2741253,0.001318258,15440,705,518.7,25.5,0.045660622,0.049161365
Japan,2010,126381728,0.060776506,1197012,75965,331,35.3,0.063462188,0.106646526
Kazakhstan,2010,16323287,0.007849808,145873,17746,1000.2,106.8,0.121653767,0.106778644
Kyrgyzstan,2010,5447960,0.002619904,36174,3954,944.5,80.1,0.109305026,0.084806776
Latvia,2010,2097555,0.001008706,30073,2108,755.2,80.7,0.070096099,0.10685911
Lithuania,2010,3097282,0.001489471,42120,4045,737.2,105.7,0.096035138,0.143380358
Mexico,2010,118617542,0.057042738,578572,69836,595,60.9,0.120704078,0.102352941
Netherlands,2010,16615394,0.007990282,136058,5749,410.2,22.2,0.042254039,0.054119941
Moldova,2010,3562045,0.001712974,43631,3692,1006.1,90.8,0.084618734,0.090249478
Russia,2010,142849468,0.068695781,2028516,216867,965.4,128.2,0.106909189,0.132794696
Singapore,2010,3771700,0.001813797,16475,762,368,17.6,0.046251897,0.047826087
South Africa,2010,51621594,0.024824634,543856,48238,1370.3,99.5,0.088696273,0.072611837
Spain,2010,46072831,0.022156254,382047,14066,368.8,20,0.03681746,0.054229935
Sweden,2010,9378126,0.004509906,90519,4659,387.1,30.4,0.051469857,0.078532679
Turkey,2010,73142150,0.03517379,294501,12981,456.7,18.7,0.044077949,0.040945916
Ukraine,2010,45690386,0.021972338,698235,43955,918.1,81.1,0.062951585,0.088334604
United Arab Emirates,2010,8329453,0.004005603,7413,1275,486.3,20.8,0.171995144,0.042771951
United Kingdom,2010,62261967,0.02994155,561666,20457,422.1,23.5,0.036422002,0.055674011
United States,2010,309876170,0.149018305,2469288,183636,478.4,50.6,0.074367996,0.105769231
Venezuela,2010,28995745,0.013943947,138504,27427,605.7,95.4,0.198023162,0.157503715
WORLD - reporting countries,2010,2079450377,1,17133586,1317737,41343.8,3477.8,0.076909586,0.090885814
Argentina,2011,41655616,0.02012192,316715,19529,589.8,44.6,0.061661115,0.075618854
Armenia,2011,2967984,0.001433697,27963,1363,719.7,41.3,0.048742982,0.057385022
Australia,2011,22618294,0.010925862,146932,9123,353.6,30.7,0.062089946,0.086821267
Bahrain,2011,1195020,0.000577259,2527,166,522.8,15.7,0.065690542,0.030030604
Belarus,2011,9473172,0.004576055,135090,13498,889.1,116.1,0.099918573,0.130581487
Brazil,2011,200517584,0.09686086,1170498,146034,654,71.6,0.124762281,0.109480122
Canada,2011,34499905,0.016665324,242074,15802,370.5,33.4,0.06527756,0.090148448
Colombia,2011,46406446,0.022416828,195823,31308,502.6,66.6,0.159879074,0.132510943
Croatia,2011,4402788,0.002126785,51019,2767,578.5,41.4,0.054234697,0.071564391
